sample_id,article_id,title,published_at,human_relevance,asset,assisted_sentiment,assisted_category,sentiment_score,confidence,reason,provider,model,prompt_version,generated_at
1,93,"Strive Boosts Bitcoin Holdings by $109 Million , Funded by Perpetual Preferred Stock",2026-09-09T10:15:00Z,relevant,BTC,bullish,institutional_adoption,0.85,0.95,Strive boosted its Bitcoin holdings by $109 million.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
3,296,"BNB Chain Overtakes Solana in DeFi TVL, Closing In on Ethereum's Lead",2026-09-14T18:25:00Z,relevant,BNB,bullish,market_movement,0.8,0.94,BNB Chain overtook Solana in DeFi TVL and is closing in on Ethereum's lead.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
3,296,"BNB Chain Overtakes Solana in DeFi TVL, Closing In on Ethereum's Lead",2026-09-14T18:25:00Z,relevant,SOL,bearish,market_movement,-0.65,0.9,BNB Chain overtook Solana in DeFi TVL.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
6,297,BNB Chain Tops 2026 Tokenized Asset Growth With $3.62 Billion Inflow,2026-09-13T18:17:00Z,relevant,BNB,bullish,institutional_adoption,0.9,0.96,BNB Chain led tokenized asset growth with a $3.62 billion inflow.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
7,335,Solana Price Prediction: SOL Could Extend Rally if $100 Support Holds,2026-09-13T15:12:22Z,relevant,SOL,bullish,market_movement,0.7,0.86,The headline says SOL could extend its rally if $100 support holds.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
11,227,Bitcoin ETF Outflows Reach $167M as Ether and Solana ETFs Rebound,2026-09-10T11:00:00Z,relevant,BTC,bearish,etf_flows,-0.8,0.96,Bitcoin ETF outflows reached $167 million.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
11,227,Bitcoin ETF Outflows Reach $167M as Ether and Solana ETFs Rebound,2026-09-10T11:00:00Z,relevant,ETH,bullish,etf_flows,0.65,0.9,Ether ETFs rebounded.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
11,227,Bitcoin ETF Outflows Reach $167M as Ether and Solana ETFs Rebound,2026-09-10T11:00:00Z,relevant,SOL,bullish,etf_flows,0.65,0.9,Solana ETFs rebounded.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
17,219,"The SEC Cleared XRP , Bitcoin , Ethereum and Solana for Nasdaq Texas Commodity Trusts . What It Does and Does Not Do .",2026-09-09T21:00:00Z,relevant,BTC,bullish,regulation,0.65,0.84,The SEC cleared Bitcoin for Nasdaq Texas Commodity Trusts.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
17,219,"The SEC Cleared XRP , Bitcoin , Ethereum and Solana for Nasdaq Texas Commodity Trusts . What It Does and Does Not Do .",2026-09-09T21:00:00Z,relevant,ETH,bullish,regulation,0.65,0.84,The SEC cleared Ethereum for Nasdaq Texas Commodity Trusts.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
17,219,"The SEC Cleared XRP , Bitcoin , Ethereum and Solana for Nasdaq Texas Commodity Trusts . What It Does and Does Not Do .",2026-09-09T21:00:00Z,relevant,SOL,bullish,regulation,0.65,0.84,The SEC cleared Solana for Nasdaq Texas Commodity Trusts.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
25,282,"Crypto: In 2026, BNB Chain Emerges as the Global Leader in RWA Growth",2026-09-14T06:13:40Z,relevant,BNB,bullish,institutional_adoption,0.85,0.94,BNB Chain emerged as the global leader in real-world asset growth.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
26,363,Ethereum Wins Institutional Money. BNB Chain Gets Tokenized Stocks.,2026-09-15T15:00:00Z,relevant,ETH,bullish,institutional_adoption,0.75,0.9,Ethereum is described as winning institutional money.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
26,363,Ethereum Wins Institutional Money. BNB Chain Gets Tokenized Stocks.,2026-09-15T15:00:00Z,relevant,BNB,bullish,institutional_adoption,0.7,0.88,BNB Chain is associated with tokenized stocks.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
